Match Number,Federation,Series,Tournament,Location,Court,Surface,Round,Best of,Date GMT,Time GMT,Player ,Opponent,Player Rank,Opponent Rank,Player Ranking Points,Opponent Ranking Points,Result,Player Age,Player Aces,Player Double Faults,Player Serves,Player 1st Serve In,Player 1st Serve Won,Player 2nd Serve Won,Player 1st Serve Fault 
1,ATP,ATP250,Qatar Exxon Mobil Open,Doha,Outdoor,Hard,1st Round,3,1/3/12,12:35:00,Karlovic I.,Stakhovsky S.,56,62,867,780,Win,32.84325804,8,1,101,66,52,21,0.346534653
2,ATP,ATP250,Qatar Exxon Mobil Open,Doha,Outdoor,Hard,2nd Round,3,1/4/12,14:25:00,Karlovic I.,Youzhny M.,56,35,867,1105,Loss,32.84325804,20,2,91,63,41,14,0.307692308
3,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,1st Round,5,1/16/12,02:05:00,Karlovic I.,Melzer J.,57,33,842,1170,Win,32.88158795,24,3,104,81,61,10,0.221153846
4,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,2nd Round,5,1/18/12,06:25:00,Karlovic I.,Berlocq C.,57,61,842,801,Win,32.88158795,20,2,132,87,63,28,0.340909091
5,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,3rd Round,5,1/20/12,02:25:00,Karlovic I.,Federer R.,57,3,842,8010,Loss,32.88158795,15,3,119,83,63,13,0.302521008
6,ATP,ATP250,PBZ Zagreb Indoors,Zagreb,Indoor,Hard,1st Round,3,1/31/12,16:50:00,Karlovic I.,Kavcic B.,46,111,922,527,Win,32.91991786,8,0,54,33,28,12,0.388888889
7,ATP,ATP250,PBZ Zagreb Indoors,Zagreb,Indoor,Hard,2nd Round,3,2/2/12,19:50:00,Karlovic I.,Sela D.,46,73,922,685,Win,32.91991786,12,0,46,32,29,6,0.304347826
8,ATP,ATP250,PBZ Zagreb Indoors,Zagreb,Indoor,Hard,Quarterfinals,3,2/3/12,16:50:00,Karlovic I.,Youzhny M.,46,39,922,1025,Loss,32.91991786,22,0,104,86,68,12,0.173076923
9,ATP,ATP250,International Championships,Delray Beach,Outdoor,Hard,1st Round,3,2/28/12,22:00:00,Karlovic I.,Matosevic M.,41,173,1017,293,Loss,32.99657769,6,1,47,24,19,11,0.489361702
10,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,1st Round,3,3/8/12,19:05:00,Karlovic I.,Kubot L.,42,52,1017,871,Loss,33.01574264,9,3,52,34,21,9,0.346153846
11,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,1st Round,3,3/22/12,15:05:00,Karlovic I.,Kubot L.,54,51,847,871,Win,33.05407255,27,4,117,67,54,28,0.427350427
12,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,2nd Round,3,3/24/12,22:10:00,Karlovic I.,Del Potro J.M.,54,11,847,2660,Loss,33.05407255,8,2,72,41,32,15,0.430555556
13,ATP,ATP250,U.S. Men's Clay Court Championships,Houston,Outdoor,Clay,1st Round,3,4/11/12,18:05:00,Karlovic I.,Reynolds B.,62,116,770,486,Loss,33.11156742,19,4,89,53,38,21,0.404494382
14,ATP,Masters 1000,Mutua Madrid Open,Madrid,Outdoor,Clay,1st Round,3,5/6/12,13:25:00,Karlovic I.,Davydenko N.,60,54,760,825,Loss,33.18822724,15,1,63,40,31,12,0.365079365
